Country_clean,Year,GDP,Population,GDP_per_capita,Rank_pc,Region
China,2021,18190803.0,1412360000.0,12879.72117590416,64.0,Asia
Colombia,2021,318525.0,51188173.0,6222.628809197781,95.0,South America
Comoros,2021,1273.0,818174.0,1555.9037564136725,160.0,Africa
Democratic Republic of the Congo,2021,55327.0,99148932.0,558.0191221827786,185.0,Africa
Republic of the Congo,2021,13387.0,5892183.0,2271.9932493610604,146.0,Africa
Costa Rica,2021,64954.0,5059988.0,12836.789336259295,65.0,North America
Ivory Coast,2021,72833.0,29639736.0,2457.2755978663236,141.0,Africa
Croatia,2021,69055.0,3878981.0,17802.355824893188,54.0,Europe
Cyprus,2021,30393.0,1317309.0,23072.035490534112,44.0,Asia
Czech Republic,2021,290973.0,10505772.0,27696.48912997541,39.0,Europe
Denmark,2021,408378.0,5856733.0,69727.95242671981,8.0,Europe
Djibouti,2021,3393.0,1121248.0,3026.0923542338537,134.0,Africa
Dominica,2021,555.0,67202.0,8258.682777298294,82.0,North America
Dominican Republic,2021,95067.0,11123476.0,8546.519091694,81.0,North America
Ecuador,2021,107179.0,17682454.0,6061.319316877623,98.0,South America
Egypt,2021,423300.0,110957008.0,3814.9911180013073,125.0,Africa
El Salvador,2021,29043.0,6255782.0,4642.585051716956,112.0,North America
Equatorial Guinea,2021,12222.0,1758786.0,6949.111489402349,90.0,Africa
Eritrea,2021,,3350183.0,,,Africa
Estonia,2021,37229.0,1330932.0,27972.12780217171,38.0,Europe
Eswatini,2021,4851.0,1206593.0,4020.411190848944,119.0,Africa
Ethiopia,2021,99261.0,122138588.0,812.6915631282719,179.0,Africa
Fiji,2021,4305.0,916711.0,4696.1365141249535,110.0,Oceania
Finland,2021,294419.0,5541017.0,53134.46971918693,15.0,Europe
France,2021,2968405.0,67842811.0,43754.15694376225,24.0,Europe
Gabon,2021,19455.0,2376722.0,8185.64392469965,83.0,Africa
Gambia,2021,2045.0,2576010.0,793.863377859558,180.0,Africa
Georgia,2021,18849.0,3708610.0,5082.497215938047,104.0,Asia
Germany,2021,4351188.0,83196078.0,52300.39810290096,17.0,Europe
Ghana,2021,79514.0,32518665.0,2445.180329512297,142.0,Africa
Greece,2021,218449.0,10569207.0,20668.438038918153,46.0,Europe
Grenada,2021,1123.0,116688.0,9623.954476895653,75.0,North America
Guatemala,2021,86467.0,17598650.0,4913.274597767442,108.0,North America
Guinea,2021,16320.0,13710513.0,1190.3274516424003,165.0,Africa
Guinea-Bissau,2021,1722.0,2058841.0,836.3929026087978,177.0,Africa
Guyana,2021,8041.0,815482.0,9860.426103825714,73.0,South America
Haiti,2021,21017.0,11374586.0,1847.7156003743785,157.0,North America
Honduras,2021,27950.0,10289877.0,2716.261817318127,136.0,North America
Hong Kong,2021,368954.0,7413100.0,49770.54133898099,20.0,Asia
Hungary,2021,183283.0,9630932.0,19030.660791707385,49.0,Europe
Iceland,2021,25770.0,372520.0,69177.49382583486,9.0,Europe
India,2021,3167271.0,1414203896.0,2239.6141100717205,148.0,Asia
Indonesia,2021,1186510.0,276758053.0,4287.17425613628,116.0,Asia
Iran,2021,289294.0,88455488.0,3270.5036910768044,133.0,Asia
Iraq,2021,210753.0,43071211.0,4893.12919481182,109.0,Asia
Ireland,2021,531660.0,5110585.0,104031.14320571911,2.0,Europe
Israel,2021,489854.0,9371400.0,52271.16546087031,18.0,Asia
Italy,2021,2180656.0,59133173.0,36877.033471550734,30.0,Europe
Jamaica,2021,14674.0,2837682.0,5171.122063712565,103.0,North America
Japan,2021,5039148.0,125681593.0,40094.55863596509,27.0,Asia
Jordan,2021,46362.0,11066356.0,4189.454956988551,117.0,Asia
Kazakhstan,2021,197112.0,19743603.0,9983.588101928508,72.0,Asia
Kenya,2021,109875.0,53219166.0,2064.575758289786,152.0,Africa
Kiribati,2021,285.0,128377.0,2220.0238360453977,149.0,Oceania
South Korea,2021,1942314.0,51769539.0,37518.472011118356,29.0,Asia
Kosovo,2021,9418.0,1786079.0,5273.003041858731,102.0,
Kuwait,2021,148455.0,4360865.0,34042.55807047455,31.0,Asia
Kyrgyzstan,2021,9256.0,6851224.0,1350.9994710434223,162.0,Asia
Laos,2021,18533.0,7453194.0,2486.584945997649,139.0,Asia
Latvia,2021,38209.0,1884490.0,20275.512207546868,47.0,Europe
Lebanon,2021,19782.0,5718122.0,3459.5274462489606,130.0,Asia
Lesotho,2021,2445.0,2261542.0,1081.1207574301075,169.0,Africa
Liberia,2021,3509.0,5259323.0,667.1961391228491,182.0,Africa
Libya,2021,35216.0,7135175.0,4935.548182069816,106.0,Africa
Lithuania,2021,67068.0,2808380.0,23881.383573448038,43.0,Europe
Luxembourg,2021,86444.0,640064.0,135055.24447555243,1.0,Europe
Macau,2021,30969.0,682500.0,45375.82417582418,23.0,Asia
Madagascar,2021,14355.0,29691083.0,483.4784908317423,191.0,Africa
Malawi,2021,12475.0,20047258.0,622.2796154965432,183.0,Africa
